profit factor = -0.0670594927869
winning days = 774
average win = 0.0291382829665
sharpe ratio = 9.66092458073
max consecutive wins = 35
cumulative return = 81695731.0179
max consecutive losses = 4
information ratio = 0.608581044656
total days = 944
average loss = -1.97831631014
max daily return = 0.243717722594
reference cumulative return = 0.27604165477134646
average daily return = 0.019486706308
win rate = 0.8199152542372882
max daily drawdown = -0.191209997944
average_t_stats = [43.21330426009547, 83.347187143808696, 4.9922791108517108, 50.315709187191572, 156.67458864506122]
daily return stdev = 0.03201990347733949
max drawdown = 0.191209997944
total transaction fee = 0
losing days = 170

Date	Gain%	Val	Ref_value	Daily_fee
2013-11-06	3.04733%	1654384362.36136	11919930.01046	0.00000
2013-11-07	4.47250%	1728376718.69740	11732726.41880	0.00000
2013-11-08	1.68465%	1757493799.41468	11896976.44306	0.00000
2013-11-11	-0.02649%	1757028294.00360	11927759.81892	0.00000
2013-11-12	-1.60506%	1728826933.15070	11924313.74292	0.00000
2013-11-13	0.62464%	1739625959.73114	12051110.00353	0.00000
2013-11-14	0.69818%	1751771670.17426	12049867.89990	0.00000
2013-11-15	-1.06106%	1733184319.12579	12105229.12711	0.00000
2013-11-18	2.25283%	1772230062.79271	12013040.64683	0.00000
2013-11-19	-4.32098%	1695652277.62164	11973544.71209	0.00000
2013-11-20	0.61974%	1706160966.31935	11939231.92187	0.00000
2013-11-21	0.59375%	1716291333.69996	12045294.86602	0.00000
2013-11-22	2.18927%	1753865637.12463	12085590.42423	0.00000
2013-11-25	0.65597%	1765370389.37503	12089104.42869	0.00000
2013-11-26	4.06206%	1837080726.94805	12159719.12324	0.00000
2013-11-27	2.47278%	1882507725.26831	12237961.21913	0.00000
2013-11-28	0.00000%	1882507725.26831	12237961.21913	0.00000
2013-11-29	3.38590%	1946247632.02263	12258226.78288	0.00000
2013-12-02	-1.15234%	1923820257.48679	12165342.20946	0.00000
2013-12-03	0.64271%	1936184901.31050	12145779.29832	0.00000
2013-12-04	-2.07475%	1896013862.16649	12171278.74412	0.00000
2013-12-05	8.89732%	2064708221.44625	12167048.94105	0.00000
2013-12-06	2.71633%	2120792433.34800	12171788.01183	0.00000
2013-12-09	4.10153%	2207777382.11420	12124147.73489	0.00000
2013-12-10	3.13262%	2276938669.81176	12086597.85909	0.00000
2013-12-11	1.85214%	2319110782.81091	11950272.91694	0.00000
2013-12-12	0.38462%	2328030544.15767	11976169.64819	0.00000
2013-12-13	2.39200%	2383717124.08338	12003514.21830	0.00000
2013-12-16	4.06806%	2480688217.13780	12065102.37771	0.00000
2013-12-17	0.57690%	2494999265.94702	12066663.27550	0.00000
2013-12-18	-0.57187%	2480731215.02830	12149436.54489	0.00000
2013-12-19	4.25695%	2586334784.62818	12160205.48572	0.00000
2013-12-20	1.94864%	2636733017.66031	12291095.99288	0.00000
2013-12-23	0.07110%	2638607748.44079	12361126.01417	0.00000
2013-12-24	2.62880%	2707971471.12724	12415407.22034	0.00000
2013-12-26	1.17722%	2739850174.75500	12429536.27991	0.00000
2013-12-27	4.69411%	2868461797.49545	12403097.90321	0.00000
2013-12-30	2.76770%	2947852088.40548	12418855.28182	0.00000
2013-12-31	-0.25383%	2940369663.85237	12469911.59222	0.00000
2014-01-02	-1.36077%	2900357885.69654	12466993.29154	0.00000
2014-01-03	-2.40904%	2830487218.61016	12532665.64741	0.00000
2014-01-06	0.76193%	2852053461.07046	12469527.90339	0.00000
2014-01-07	-3.04385%	2765241275.96761	12547254.47505	0.00000
2014-01-08	0.63561%	2782817368.26340	12593628.30204	0.00000
2014-01-09	-4.77570%	2649918242.46141	12587943.41061	0.00000
2014-01-10	-0.11787%	2646794858.41961	12620954.84036	0.00000
2014-01-13	2.21023%	2705295078.59221	12502429.28450	0.00000
2014-01-14	9.44672%	2960856651.95264	12603569.10692	0.00000
2014-01-15	1.06158%	2992288639.93220	12667418.09876	0.00000
2014-01-16	1.40530%	3034339244.57308	12719624.78754	0.00000
2014-01-17	-1.10093%	3000933388.65437	12707564.40190	0.00000
2014-01-20	0.00000%	3000933388.65437	12707564.40190	0.00000
2014-01-21	2.30504%	3070106223.92998	12719908.42266	0.00000
2014-01-22	1.83769%	3126525135.54943	12762323.90740	0.00000
2014-01-23	0.33694%	3137059539.47777	12720767.89300	0.00000
2014-01-24	-1.44805%	3091633457.33842	12529976.24390	0.00000
2014-01-27	2.34405%	3164102892.29399	12349834.11530	0.00000
2014-01-28	1.01645%	3196264476.38468	12450891.70365	0.00000
2014-01-29	1.89557%	3256851966.04628	12395564.08196	0.00000
2014-01-30	5.53639%	3437163958.34168	12455962.33942	0.00000
2014-01-31	0.99513%	3471368294.76958	12504726.57122	0.00000
2014-02-03	0.81967%	3499822098.11431	12208791.34514	0.00000
2014-02-04	3.13899%	3609681224.33165	12231028.36638	0.00000
2014-02-05	0.34169%	3622015317.00473	12173371.81462	0.00000
2014-02-06	-0.04551%	3620366806.82978	12217325.94113	0.00000
2014-02-07	-0.15941%	3614595463.97789	12307217.96064	0.00000
2014-02-10	0.13974%	3619646502.47009	12384346.48252	0.00000
2014-02-11	3.43924%	3744134939.30363	12460689.35886	0.00000
2014-02-12	7.35718%	4019597853.22331	12468018.21740	0.00000
2014-02-13	4.87108%	4215395663.95199	12650445.55429	0.00000
2014-02-14	-0.16912%	4208266441.22553	12660491.03551	0.00000
2014-02-18	1.81894%	4284812163.49071	12744843.03590	0.00000
2014-02-19	1.54399%	4350969048.74650	12675527.71322	0.00000
2014-02-20	-3.61415%	4193718625.38004	12782202.95818	0.00000
2014-02-21	-0.50511%	4172535637.06860	12766068.07608	0.00000
2014-02-24	-0.83865%	4137542747.63849	12824858.01683	0.00000
2014-02-25	2.12687%	4225543008.16764	12799246.38732	0.00000
2014-02-26	3.39958%	4369193549.20541	12848217.42341	0.00000
2014-02-27	-2.05299%	4279494583.93681	12949381.82464	0.00000
2014-02-28	-1.07168%	4233631892.80544	12887515.94627	0.00000
2014-03-03	3.48014%	4380968141.28038	12951722.78914	0.00000
2014-03-04	0.50960%	4403293652.50395	13086381.77087	0.00000
2014-03-05	2.36287%	4507337560.37780	13127779.00107	0.00000
2014-03-06	-1.02926%	4460945513.75441	13100915.34637	0.00000
2014-03-07	-0.09902%	4456528350.04017	13059280.38933	0.00000
2014-03-10	-0.75845%	4422727795.93840	13083248.56052	0.00000
2014-03-11	3.53950%	4579270294.10237	12962821.06228	0.00000
2014-03-12	4.54813%	4787541515.66874	13038129.47866	0.00000
2014-03-13	1.98597%	4882620420.12923	12857939.24198	0.00000
2014-03-14	1.85281%	4973086269.22084	12903687.80768	0.00000
2014-03-17	0.60616%	5003230907.60559	12900544.96616	0.00000
2014-03-18	4.93624%	5250202622.99232	13034924.88475	0.00000
2014-03-19	2.64901%	5389280915.31666	12985989.95875	0.00000
2014-03-20	1.76751%	5484537262.31930	13033518.34944	0.00000
2014-03-21	3.34770%	5668142903.67307	12933559.25528	0.00000
2014-03-24	3.78793%	5882848094.07735	12741228.93625	0.00000
2014-03-25	1.09002%	5946972505.03705	12687578.26741	0.00000
2014-03-26	-1.64336%	5849242581.61675	12430667.11304	0.00000
2014-03-27	0.72089%	5891409247.01201	12379792.04487	0.00000
2014-03-28	2.10609%	6015487642.18432	12342040.23667	0.00000
2014-03-31	-4.33893%	5754479774.10347	12447934.32347	0.00000
2014-04-01	0.78080%	5799410743.85735	12566240.60762	0.00000
2014-04-02	2.11610%	5922132089.87760	12587878.74231	0.00000
2014-04-03	1.85253%	6031841408.78014	12477159.88424	0.00000
2014-04-04	4.16661%	6283164862.27513	12176620.42872	0.00000
2014-04-07	-0.64897%	6242389256.10460	12053150.58445	0.00000
2014-04-08	2.11106%	6374169774.14027	12114454.06402	0.00000
2014-04-09	1.80083%	6488957684.72233	12235000.98405	0.00000
2014-04-10	2.27632%	6636667266.39386	11960837.16914	0.00000
2014-04-11	2.85623%	6826225483.19658	11894773.05636	0.00000
2014-04-14	2.14005%	6972310461.66104	11771840.94083	0.00000
2014-04-15	2.26291%	7130087618.45563	11706424.82372	0.00000
2014-04-16	2.16810%	7284674767.98742	11752022.07594	0.00000
2014-04-17	5.93065%	7716703096.11879	11836143.67255	0.00000
2014-04-21	4.90201%	8094976579.61551	11891014.99469	0.00000
2014-04-22	2.43998%	8292492441.77819	12012244.00281	0.00000
2014-04-23	1.86088%	8446805606.27289	11940593.76014	0.00000
2014-04-24	0.81530%	8515672680.52521	11868247.16378	0.00000
2014-04-25	-3.20314%	8242903591.74406	11713352.18614	0.00000
2014-04-28	-0.25276%	8222069041.38030	11607009.03390	0.00000
2014-04-29	-0.56509%	8175607029.63080	11602050.04164	0.00000
2014-04-30	2.76119%	8401351084.59262	11659861.92800	0.00000
2014-05-01	1.38526%	8517731497.77233	11673740.49877	0.00000
2014-05-02	-1.14042%	8420593883.69859	11656004.02582	0.00000
2014-05-05	2.28482%	8612989654.35980	11709462.04946	0.00000
2014-05-06	1.40615%	8734100902.05263	11584097.09538	0.00000
2014-05-07	-0.16397%	8719779558.29614	11500051.90361	0.00000
2014-05-08	-0.42173%	8683005933.78281	11407310.93719	0.00000
2014-05-09	4.53244%	9076558151.56073	11512815.92289	0.00000
2014-05-12	2.37003%	9291674878.99780	11677962.59182	0.00000
2014-05-13	2.82003%	9553703294.43122	11620650.46678	0.00000
2014-05-14	1.01062%	9650254735.80825	11521313.02565	0.00000
2014-05-15	1.88137%	9831811524.72382	11481573.79439	0.00000
2014-05-16	0.33390%	9864639887.25012	11513042.78440	0.00000
2014-05-19	1.50951%	10013547710.26509	11627912.87309	0.00000
2014-05-20	2.47890%	10261773432.41738	11541963.30229	0.00000
2014-05-21	2.25416%	10493090006.82624	11548959.34378	0.00000
2014-05-22	1.21862%	10620961186.54034	11618337.40708	0.00000
2014-05-23	6.35761%	11296200615.89870	11710405.70503	0.00000
2014-05-26	0.00000%	11296200615.89870	11710405.70503	0.00000
2014-05-27	0.20528%	11319389947.16345	11783964.55784	0.00000
2014-05-28	0.28213%	11351324931.39260	11774564.00945	0.00000
2014-05-29	-1.12493%	11223630677.24575	11794868.44976	0.00000
2014-05-30	6.70088%	11975713041.64666	11739726.97197	0.00000
2014-06-02	3.59388%	12406105874.86430	11670178.31651	0.00000
2014-06-03	2.59801%	12728417250.15915	11661022.08067	0.00000
2014-06-04	2.28958%	13019844776.65698	11717214.21970	0.00000
2014-06-05	0.46363%	13080208325.29425	11860268.69746	0.00000
2014-06-06	-0.57054%	13005580237.86017	11913074.70841	0.00000
2014-06-09	0.78451%	13107610234.74290	12011216.30012	0.00000
2014-06-10	-2.80466%	12739985750.02204	12042675.77815	0.00000
2014-06-11	1.16281%	12888128082.41750	12077450.11508	0.00000
2014-06-12	2.25250%	13178433555.44626	12043241.34530	0.00000
2014-06-13	4.33090%	13749178128.79327	12035500.29482	0.00000
2014-06-16	4.45312%	14361445806.21731	12087636.98428	0.00000
2014-06-17	1.27241%	14544181764.28062	12189810.86805	0.00000
2014-06-18	-0.06327%	14534979155.65699	12243752.49913	0.00000
2014-06-19	0.93114%	14670320857.45493	12214778.79068	0.00000
2014-06-20	2.01922%	14966547529.51319	12221036.73939	0.00000
2014-06-23	18.35822%	17714138836.68731	12195948.29839	0.00000
2014-06-24	0.69285%	17836870971.94792	12114155.70609	0.00000
2014-06-25	1.62486%	18126695496.38479	12201888.46530	0.00000
2014-06-26	1.97931%	18485478439.69400	12207493.63711	0.00000
2014-06-27	0.86651%	18645657048.39281	12320190.17685	0.00000
2014-06-30	2.57382%	19125562183.65685	12373575.40333	0.00000
2014-07-01	2.30553%	19566507179.79589	12459396.76916	0.00000
2014-07-02	0.50487%	19665292496.16043	12464941.36656	0.00000
2014-07-03	-0.65318%	19536842503.58510	12498530.63798	0.00000
2014-07-07	1.88666%	19905435588.90443	12346665.97767	0.00000
2014-07-08	2.11024%	20325487391.67544	12183366.77231	0.00000
2014-07-09	2.81334%	20897311879.07213	12178949.38514	0.00000
2014-07-10	2.39675%	21398168016.23333	12244883.12361	0.00000
2014-07-11	2.11784%	21851347521.28029	12272540.78545	0.00000
2014-07-14	1.32193%	22140206019.16920	12251157.66744	0.00000
2014-07-15	3.22525%	22854282623.16749	12135206.55587	0.00000
2014-07-16	0.42774%	22952040175.94812	12061742.72884	0.00000
2014-07-17	0.82224%	23140761602.46796	11943178.22257	0.00000
2014-07-18	1.82173%	23562323697.90787	12095982.16360	0.00000
2014-07-21	1.07645%	23815961314.42012	12119428.77033	0.00000
2014-07-22	0.05783%	23829734022.63865	12146281.63870	0.00000
2014-07-23	1.65456%	24224010758.79968	12140551.65098	0.00000
2014-07-24	2.27435%	24774948854.41214	12115929.65659	0.00000
2014-07-25	1.75840%	25210592346.76590	12104896.79118	0.00000
2014-07-28	1.50708%	25590536437.92824	12045841.32331	0.00000
