Date,int,prc,mom,hlv,vol,R^2,s_size
2014-02-10,0.00064677,-0.00026526,0.01181208,0.00155977,-0.00024449,0.00525701,2000
2014-02-11,0.00271281,-0.00049755,0.00961773,0.00196292,-0.00002622,0.00908666,2000
2014-02-12,-0.00118648,0.00057916,0.01479880,0.00254722,0.00017258,0.02865385,2000
2014-02-13,-0.00629694,0.00033929,0.00023398,-0.00214354,-0.00054827,0.03149879,2000
2014-02-14,0.00264536,-0.00079781,0.02981871,0.00102344,-0.00030207,0.01006154,2000
2014-02-17,0.00029731,-0.00168364,0.00002114,0.00418432,0.00212690,1.00000000,4
2014-02-18,0.00018136,0.00047485,-0.01257908,0.00157388,0.00002460,0.00783297,2000
2014-02-19,-0.00332416,0.00023791,0.00461466,-0.00175829,-0.00011732,0.01509447,2000
2014-02-20,-0.00010525,0.00020700,0.01547835,0.00126901,0.00001772,0.00608403,2000
2014-02-21,0.00412553,-0.00052462,-0.01630883,0.00226953,-0.00037785,0.02656910,2000
2014-02-24,0.00338136,-0.00049754,0.00002475,0.00178870,-0.00000303,0.01715077,2000
2014-02-25,-0.00145048,0.00050832,-0.01500678,-0.00037655,-0.00014050,0.00430392,2000
2014-02-26,-0.00086871,0.00061441,0.04700918,0.00118441,-0.00005100,0.01125715,2000
2014-02-27,0.00135048,-0.00062843,0.00241448,0.00058638,0.00016842,0.00435758,2000
2014-02-28,-0.00017616,0.00044451,-0.07920431,0.00133074,-0.00021747,0.01376634,2000
2014-03-03,-0.00316741,-0.00112025,0.00810170,-0.00234475,-0.00087731,0.04909333,2000
2014-03-04,0.00423796,0.00140945,-0.10267609,0.00503188,0.00036029,0.13884585,2000
2014-03-05,0.00183097,-0.00078874,0.00003541,-0.00061647,0.00036291,0.01462580,2000
